When did Beyonce start becoming popular?	56be85543aeaaa14008c9063
What areas did Beyonce compete in when she was growing up?	56be85543aeaaa14008c9065
When did Beyonce leave Destiny's Child and become a solo singer?	56be85543aeaaa14008c9066
In what city and state did Beyonce  grow up? 	56bf6b0f3aeaaa14008c9601
In which decade did Beyonce become famous?	56bf6b0f3aeaaa14008c9602
In what R&B group was she the lead singer?	56bf6b0f3aeaaa14008c9603
What album made her a worldwide known artist?	56bf6b0f3aeaaa14008c9604
Who managed the Destiny's Child group?	56bf6b0f3aeaaa14008c9605
When did Beyoncé rise to fame?	56d43c5f2ccc5a1400d830a9
What role did Beyoncé have in Destiny's Child?	56d43c5f2ccc5a1400d830aa
What was the first album Beyoncé released as a solo artist?	56d43c5f2ccc5a1400d830ab
When did Beyoncé release Dangerously in Love?	56d43c5f2ccc5a1400d830ac
How many Grammy awards did Beyoncé win for her first solo album?	56d43c5f2ccc5a1400d830ad
What was Beyoncé's role in Destiny's Child?	56d43ce42ccc5a1400d830b4
What was the name of Beyoncé's first solo album?	56d43ce42ccc5a1400d830b5
After her second solo album, what other entertainment venture did Beyonce explore?	56be86cf3aeaaa14008c9076
Which artist did Beyonce marry?	56be86cf3aeaaa14008c9078
To set the record for Grammys, how many did Beyonce win?	56be86cf3aeaaa14008c9079
For what movie did Beyonce receive  her first Golden Globe nomination?	56bf6e823aeaaa14008c9627
When did Beyonce take a hiatus in her career and take control of her management?	56bf6e823aeaaa14008c9629
Which album was darker in tone from her previous work?	56bf6e823aeaaa14008c962a
After what movie portraying Etta James, did Beyonce create Sasha Fierce?	56bf6e823aeaaa14008c962b
When did Destiny's Child end their group act?	56d43da72ccc5a1400d830bd
What was the name of Beyoncé's second solo album?	56d43da72ccc5a1400d830be
What was Beyoncé's first acting job, in 2006?	56d43da72ccc5a1400d830bf
Who is Beyoncé married to?	56d43da72ccc5a1400d830c0
What is the name of Beyoncé's alter-ego?	56d43da72ccc5a1400d830c1
In her music, what are some recurring elements in them?	56be88473aeaaa14008c9080
Time magazine named her one of the most 100 what people of the century?	56be88473aeaaa14008c9083
Which magazine declared her the most dominant woman musician?	56be88473aeaaa14008c9084
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?	56bf725c3aeaaa14008c9643
What magazine rated Beyonce as the most powerful female musician in 2015?	56bf725c3aeaaa14008c9644
How did Beyonce describe herself as a feminist?	56bf725c3aeaaa14008c9645
In which years did Time rate Beyonce in the 100 most influential people in the world?	56bf725c3aeaaa14008c9646
How many records has Beyonce sold in her 19 year career?	56bf725c3aeaaa14008c9647
How many records did Beyoncé sell as part of Destiny's Child?	56d43f7e2ccc5a1400d830c7
After leaving Destiny's Child, how many records did Beyoncé release under her own name?	56d43f7e2ccc5a1400d830c8
How many Grammy awards has Beyoncé won?	56d43f7e2ccc5a1400d830c9
What magazine named Beyoncé as the most powerful female musician for 2015?	56d43f7e2ccc5a1400d830cb
Beyonce's younger sibling also sang with her in what band?	56be892d3aeaaa14008c908b
Where did Beyonce get her name from?	56be892d3aeaaa14008c908c
What race was Beyonce's father?	56be892d3aeaaa14008c908d
Beyonce's childhood home believed in what religion?	56be892d3aeaaa14008c908e
Beyonce's father worked as a sales manager for what company?	56bf74d53aeaaa14008c9659
Beyonce's mother worked in what industry?	56bf74d53aeaaa14008c965a
What younger sister of Beyonce also appeared in Destiny's Child?	56bf74d53aeaaa14008c965b
Beyonce is a descendent of what Arcadian leader?	56bf74d53aeaaa14008c965d
What company did Beyoncé's father work for when she was a child?	56d440df2ccc5a1400d830d1
What did Beyoncé's mother own when Beyoncé was a child?	56d440df2ccc5a1400d830d2
What is the name of Beyoncé's younger sister?	56d440df2ccc5a1400d830d3
Beyoncé is a descendant of which Acadian leader?	56d440df2ccc5a1400d830d4
Beyoncé was raised in what religion?	56d440df2ccc5a1400d830d5
What town did Beyonce go to school in?	56be8a583aeaaa14008c9094
Who was the first person to notice Beyonce's singing ability?	56be8a583aeaaa14008c9095
Beyonce moved to which town after she left her first elementary school?	56be8a583aeaaa14008c9097
Which of her teachers discovered Beyonce's musical talent?	56bf76ef3aeaaa14008c9664
I which church was Beyonce  a member and soloist  in the choir?	56bf76ef3aeaaa14008c9665
What type of school was Parker Elementary School?	56bf76ef3aeaaa14008c9666
Which song did Beyonce sing to win a competition at age 7?	56bf76ef3aeaaa14008c9667
What city was Beyoncé's elementary school located in?	56d443ef2ccc5a1400d830db
What was the name of Beyoncé's first dance instructor?	56d443ef2ccc5a1400d830dc
